"Tree.GE","Geno.GE","Total.Cover.GE","Roughness.GE ","X.galericulata.GE","C.holocarpa.GE","C.subdeflexa.GE","R.glauca.GE","Lecanora.sp.GE","P.melanchra.GE","P.adscendens.GE","P.undulata.GE","X.montana.GE","UK.Moss.1.GE","UK.Physcioid.GE"
"NP-03-18",999,6.250,42.500,2.750,0.000,3.000,0.000,1.000,0.100,0.000,0.000,0.100,0.000,0.000
"NP-05-15",999,0.750,16.250,0.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"NP-07-22",999,2.5,13.750,1.500,0.000,0.010,0.000,0.010,0.000,0.000,0.100,2.000,0.000,0.000
"NP-07-24",999,0.213,18.750,0.213,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"NP-07-25",999,3.750,22.500,3.500,0.100,0.000,0.000,0.000,0.100,0.000,0.100,0.000,0.000,0.000
"NP-08-21",999,7,30.000,5.750,0.000,0.010,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000
"NP-08-23",999,0.3375,13.750,0.338,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"NP-09-20",999,11.750,56.250,11.250,0.000,0.100,0.000,0.000,0.500,0.000,0.250,0.000,0.000,0.000
"N3-03",1007,0.963,18.750,0.963,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N3-31",1007,0.500,17.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N4-18",1007,2.500,20.000,2.500,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"NP-02-13",1007,4.25,20.000,3.250,0.000,0.000,0.000,0.100,0.000,0.000,0.100,0.000,0.000,0.000
"NP-03-13",1007,12,51.250,8.500,0.000,0.250,0.000,0.000,0.000,0.000,0.250,3.500,0.000,0.000
"NP-03-27",1007,6.750,20.000,3.750,0.000,0.500,0.000,0.100,0.000,0.100,0.000,2.000,0.000,0.000
"NP-03-29",1007,8.500,30.000,7.250,0.000,1.000,0.000,0.100,0.100,0.000,0.000,1.000,0.000,0.000
"NP-05-09",1007,1.025,23.000,1.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"NP-05-10",1007,6.550,27.500,2.300,0.000,0.000,0.000,0.100,0.000,0.100,0.000,8.000,0.000,0.000
"NP-05-38",1007,1.250,27.500,1.125,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000
"N1-31",1008,0.625,13.750,0.250,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000
"N2-25",1008,1.117,15.000,1.450,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000
"N3-17",1008,0.900,22.500,0.650,0.500,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"N3-22",1008,2.083,18.750,2.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N4-14",1008,3.063,11.500,2.313,0.000,0.500,0.000,0.100,0.300,0.000,0.000,0.000,0.000,0.000
"N5-02",1008,10.750,18.750,10.250,0.175,5.033,0.175,1.125,0.000,0.000,0.250,0.000,0.000,0.000
"N6-09",1008,3.775,3.750,2.775,0.000,0.550,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000
"N7-03",1008,18.750,42.500,17.000,0.000,0.100,0.000,0.000,0.100,0.000,0.100,0.000,0.000,0.000
"NP-03-09",1008,0.625,6.500,0.625,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"NP-03-34",1008,0.875,20.000,1.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"NP-03-38",1008,2.813,41.250,2.313,0.000,1.000,0.000,0.000,0.250,0.000,0.000,0.100,0.000,0.000
"NP-04-13",1008,19.75,38.750,8.500,0.000,0.300,0.000,0.100,0.000,0.000,0.500,15.000,0.000,0.000
"NP-04-41",1008,0.163,31.250,0.150,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"NP-10-07",1008,2,11.250,1.750,0.000,0.010,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000
"N2-11",1012,2.250,26.250,2.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-17",1012,15.000,38.750,10.000,0.100,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-20",1012,14.750,25.000,13.000,0.100,4.500,0.100,0.100,0.350,0.000,0.100,0.000,0.000,0.000
"N2-45",1012,9.813,61.250,8.063,0.100,0.750,0.000,0.000,0.233,0.000,0.000,0.000,0.000,0.000
"NP-08-06",1012,1.775,43.750,1.775,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"NP-09-01",1012,4.250,61.250,4.250,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000
"NP-13-11",1012,0.125,40.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N1-04",1017,15.125,72.500,12.600,0.100,3.625,0.000,0.000,0.425,0.000,0.250,0.000,0.000,0.000
"N1-08",1017,3.050,42.500,3.300,0.100,0.750,0.100,0.100,0.150,0.000,0.000,0.100,0.000,0.000
"N1-16",1017,13.000,66.250,11.250,0.425,0.000,0.000,0.100,0.100,0.000,0.000,0.000,0.000,0.000
"N1-20",1017,25.500,31.250,21.625,0.100,2.500,0.000,0.000,1.125,0.000,0.250,0.000,0.000,0.000
"N1-24",1017,32.250,35.000,10.500,0.100,0.367,0.000,0.000,0.500,0.750,0.000,0.000,3.000,0.000
"N2-03",1017,5.313,48.750,4.813,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-15",1017,25.750,56.250,22.000,0.150,1.417,0.000,0.200,0.250,0.000,0.000,0.000,0.000,0.250
"N3-13",1017,13.500,53.750,10.500,0.175,1.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"NP-04-04",1017,3.275,56.250,3.275,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"NP-04-27",1017,7.625,30.000,2.375,0.000,0.000,0.000,0.100,0.500,0.000,0.100,7.750,0.000,0.000
"NP-07-05",1017,21,52.500,17.000,0.000,0.750,0.000,0.100,0.000,0.000,0.833,0.000,0.000,0.000
"NP-07-06",1017,7.25,20.000,4.000,0.010,0.010,0.000,1.500,0.000,0.000,0.000,3.000,0.000,0.000
"NP-09-03",1017,23.3125,41.250,18.813,0.000,3.000,0.000,0.010,0.750,0.000,0.000,1.500,0.000,0.000
"NP-12-07",1017,12.250,48.750,11.250,0.100,1.000,0.100,0.300,0.550,0.000,0.250,0.500,0.000,0.000
"NP-13-10",1017,4.500,30.000,2.750,0.000,0.100,0.100,0.100,0.500,0.000,0.000,0.175,0.000,0.000
"N1-27",1023,0.813,42.500,0.813,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-12",1023,5.375,51.250,5.125,0.133,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-14",1023,3.250,50.000,3.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N4-20",1023,22.750,25.000,21.000,0.233,5.667,0.100,0.100,0.500,0.375,1.000,0.000,0.250,0.000
"NP-02-27",1023,3.063,38.750,3.063,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000
"NP-02-33",1023,7.625,28.750,6.375,0.000,1.000,0.000,0.100,0.250,0.000,0.500,1.500,0.000,0.000
"NP-02-37",1023,0.875,33.750,0.625,0.000,2.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"NP-05-33",1023,7.713,31.250,2.713,0.000,0.000,0.000,0.250,0.250,0.500,0.000,10.000,0.000,0.000
"NP-06-38",1023,3.25,28.750,3.250,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000
"NP-06-42",1023,5.250,37.500,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N1-05","T6",23.667,61.250,23.667,0.350,0.100,0.000,0.000,0.600,0.000,0.000,0.000,0.000,0.000
"N1-07","T6",5.625,60.000,5.625,0.100,0.100,0.000,0.000,1.500,0.000,0.000,0.000,0.000,0.000
"N1-11","T6",33.367,82.500,35.033,0.100,0.000,0.000,0.000,0.000,0.500,0.250,0.000,0.000,0.000
"NP-04-18","T6",4,55.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"NP-06-19","T6",11.25,67.500,14.000,0.010,3.000,0.000,2.000,0.000,0.000,0.750,2.000,0.000,0.000
"NP-07-20","T6",6.3125,76.250,6.313,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000
"NP-08-22","T6",7.775,53.750,16.025,0.000,0.750,0.000,0.010,0.000,0.000,1.750,0.000,0.000,0.000
