Tree.ID,Quad.Loc,Aspect,Pct.Roughness,Pct.Total.Cover,X. galericulata,X. montana,Caloplaca holocarpa,Candelariella subdeflexa,Rinodina glauca,Lecanora sp.,Phyciella melanchra ,Physcia adscendens,Physcia undulata,Lec hag,Phaeophyscia orbicularis (darker stuff),Phaeophyscia ciliata (grey-black-cupped-foliose),Melanelia subolivacea,Meanelia elegantula,UK Moss #1,Unknown phycia,LittleBlackBalls,Notes,Sample date,Bole.Circ.cm,DBH.cm,Age,Final ID notes
GNU-59?,North_80-90,North,15,25,17,,,0.05,5,1,,0.01,,,,,,,,,,"The lec is lec brown and the Rhinodina might be just lec black, although there is at least some Rhino there I think.",,,,,"Rikke said she found P. mel and P. adscendens in the vouchers; I only have one unknown Physcia, which I would probably have not called P. mel unknown, so I will call it P. adscendnse and not add P. mel."
,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNU-76,South_45-55,South,75,8,0.25,,,,,0.25,,,,,4,,,,,,,The lec is lec black. A note says that the P. melanchra is probably the same thing as what I called X. gal dead in the North 80-90 quadrat.,5/2/12,59,15,,"Transferred all the Pmel to the empty cell of Pha orb, because Rikke only found Phy orb. Rikke found Rino, but I noted note: I split the lec black into half lec and half Rino.   I am not adding lec hag at the moment, because I did not see it and I do not know how to add it, even though Rikke saw it in the vouchers, I did not see it myself in the field."
GNU-76,South_80-90,South,80,40,20,0.5,,0.1,4.5,4.75,,,,,,,,,,,,Lec is 9% lec black and .25% lec brown.,5/2/12,,,,"Rikke found Rino, but I noted note: I split the lec black into half lec and half Rino"
GNU-76,North_45-55,North,60,20,0.5,,,0.01,10,10.25,,,,,,,,,,,,The lec was 20% black and 0.025% lec brown.  Ther was 0.01% cover of black balls.,5/2/12,,,,"Rikke found Rino, but I noted note: I split the lec black into half lec and half Rino"
GNU-76,North_80-90,North,65,20,6,,,0.01,3.5,4,,,,,1,,,,,,,The Lec is 0.5% lec brown and 7% lec black. See note for S45-55 quad for P. melanchra/Xgal dead- all is currently in the P. melanchra categorie.,5/2/12,,,,"Transferred all the Pmel to the empty cell of Pha orb, because Rikke only found Phy orb.   Rikke found Rino, but I noted note: I split the lec black into half lec and half Rino"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNU-85_1ftAway,South_45-55,South,100,5,5,,,,,,,,,,,,,,,,,"Or 81cm circumference around basal flare; the circ in the column currently was measured  1ft above the ground. GPS= N41deg 8.315min, W 111deg 56.729 min, Elevation 4468 ft.",,64,16.1,,
GNU-85_1ftAway,South_80-90,South,100,2,2,,,,,,,,,,,,,,,,,,,,,,
GNU-85_1ftAway,North_45-55,North,100,25,18,,,0.25,1,1,5,,,2,,,,,,,,The lec is lec black. ,,,,,"Rikke found P. mel and Phae ciliata, however I do not think I would confuse the two; for now I am assuming I found Phae cil while getting vouchers but in the quads was P. mel, which is darker; SO I moved what was in Physcia. Dakr. Grey, to P. mel.  Rikke found Lec and Rino, so I split what was originally in just lec, half into rino."
GNU-85_1ftAway,North_80-90,North,100,40,20,0.25,0.1,0.25,0.05,0.05,15,0.01,,0.25,,,,,,,,"The lec is lec black. The lec light was ""(grey)"". THe unkown physcia was named ""Phys. Light"" on the datasheet.",,,,,"THe unknown physcia at 0.01 was moved to P. adscendense.  Rikke found P. mel and Phae ciliata, however I do not think I would confuse the two; for now I am assuming I found Phae cil while getting vouchers but in the quads was P. mel, which is darker; SO I moved what was in Physcia. Dakr. Grey, to P. mel. Rikke found Lec and Rino, so I split what was originally in just lec, half into rino."
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_01,South_45-55,South,45,0,,,,,,,,,,,,,,,,,,This tree is about 60 feet south of GNU204 and Nu2.8,5/2/12,42,9.15,,
LL_01,South_80-90,South,35,0,,,,,,,,,,,,,,,,,,,,,,,
LL_01,North_45-55,North,60,30,15,4,,0.5,3,1,,,,0.01,,,,,,,,"0.1% was lec brown and 3 was lec black, but the lec black may have been Rhinodina instead.",,,,,"Based on my notes and Rikke's IDs, I am moving all lec black (3%) into the Rino cel"
LL_01,North_80-90,North,20,13,15,,,1,,,,,,0.01,,,,0.5,,,,Was the lec light just dead lec?,,,,,Moved Dead X.gal? to Meanelia elegantula
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_02,South_45-55,South,35,0,,,,,,,,,,,,,,,,,,"GPS: Lat= N41deg 8.33 min, long: W 111deg 56.67min, Elevation=4580ft",5/2/12,49,9.5,,
LL_02,South_80-90,South,35,0,,,,,,,,,,,,,,,,,,,5/2/12,,,,
LL_02,North_45-55,North,50,0.01,0.01,,,,,,,,,,,,,,,,,,5/2/12,,,,
LL_02,North_80-90,North,25,0.01,0.01,,,,,,,,,,,,,,,,,,5/2/12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_03,South_45-55,South,60,25,15,0.01,0.1,0.025,,,14,,,,,,,,,,,"This tree is about 20 ft east of GNU-138. GPS: N 41deg 8.310min, W 111deg 56.732min, El 4480 ft",5/2/12,67,6.85,,
LL_03,South_80-90,South,55,2,1,,,,,,,,,,,,,,,,,,5/2/12,,,,
LL_03,North_45-55,North,20,15,11,,,,,9,0.5,,,,,,,,,,,Lec is 8% lec black and 1% lec brown.  A note says a small amount of the lec black could actually be Rhinodina.,5/2/12,,,,
LL_03,North_80-90,North,15,1.5,0.5,0.25,,,,,0.1,,,,,,,,,,,The lec is lec black,5/2/12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_04,South_45-55,South,40,0.05,0.05,,,,,,,,,,,,,,,,,"GPS: N41deg 8.375min, W 111deg 56.817min, Elevation 4440 (in feet I think)",5/2/12,37.5,9.8,,"I am not adding lec hag at the moment, because I did not see it and I do not know how to add it, even though Rikke saw it in the vouchers, I did not see it myself in the field."
LL_04,South_80-90,South,70,0.5,0.5,,,,,,,,,,,,,,,,,,5/2/12,,,,
LL_04,North_45-55,North,15,1,1,,,,,0.01,,,,,,,,,,,,The lec was lec black.,5/2/12,,,,"I am not split the lec into lec and rino, 1 half to each, after Rikke's ID notes for this one because there is so little lec in the first place.. "
LL_04,North_80-90,North,20,10,4,3.5,,0.25,1,3,,,,,,,,,,,,The lec was lec black,5/2/12,,,,"I split the lec into lec and rino, 1cm2  rino and 3 cm2 lec, after Rikke's ID notes, and because I made a note on the field datasheet that there may be 1cm2 Rino. I am excluding the Dead X. gal at 0.25 because Rikke said nothing about it in her ID notes.   Rikke may not have seen the X. montana but I noted it on my datasheet, so I left it in."
,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNU-68_Ramet,South_45-55,South,20,0,,,,,,,,,,,,,,,,,,,,35.5,5.5,,
GNU-68_Ramet,South_80-90,South,35,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,
GNU-68_Ramet,North_45-55,North,2,0,,,,,,,,,,,,,,,,,,,,,,,
GNU-68_Ramet,North_80-90,North,15,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNU-44_Fremont,South_45-55,South,100,70,,3,,,,,,,,0.1,,,,,,,,Fremont. There was 2.0% cover of a weird black ashy thing that probably was not a lichen. THe Lec light was powderey grey.,,226,60,,
GNU-44_Fremont,South_80-90,South,100,75,65,1,,,,,,,,,0.25,,,,,,,"Fremont. On the field data sheet this south 80-90 quad was switched with the south 10-20 quad, but it is correct here.",,,,,Moving what I called dead X. gal to Phae. Orbicularis; Rikke said Phae cil was also on this tree but I bet I picked it up when searching around for vouchers.
GNU-44_Fremont,North_45-55,North,95,15,7,0.25,,,,0.05,,,,0.01,0.25,,,,,,,Fremont. The Dead X. gal might be a physcioid (P. melanchra?). The lec was lec brown.,,,,,Moving what I called dead X. gal to Phae. Orbicularis; Rikke said Phae cil was also on this tree but I bet I picked it up when searching around for vouchers.
GNU-44_Fremont,North_80-90,North,100,25,,,,0.01,,0.05,,,0.1,2,,,,,,,,Fremont. There was 0.25% cover of weird black bumps that are probably not lichen. Th Lec is lec brown. The Lec light is grey and powdery.,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_07,South_45-55,South,90,1,1,,0.01,,,,,,,,,,,,,,,"LL #7,6 and5 are closer to the houses on the east side and in the open area.",5/11/12,48.5,15,,"Rikke thought she Ided Mel ele on this tree but I saw nothing that I noted like it, so I did not include it in the data matrix."
LL_07,South_80-90,South,25,1.5,1,,0.05,0.25,,,,,,,,,,,,,,,,,,,
LL_07,North_45-55,North,50,15,2,,,9,3,5,,,,0.01,,,,,,,,Lau thought a lot fo the Rhinodina was lec Black.,,,,,"Moved lec big grey to lec hag. Rikke saw lec black and Rhino, and based on Matt's opinion I split the 8% Rino up into 3% Rino and 5% lec."
LL_07,North_80-90,North,20,8,3.75,3.75,,0.25,0.05,0.05,,,,,,,,,,,,"Notes for the 0.1% Rhinodina glauca actually call it Rhin/Lec Black. I originally had 7.5% cover for X. gal and no X. montana, but Lau thought half was each, so I split it up.",,,,,Split Rino half into lec.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_05,South_45-55,South,30,30,25,,,5,,,,,,,,,,,,,,,,,,,"An extra specimen, probably not in quad, was labeled Mel ele by Rikke, and since I had a note about ""dead"" X. gal I am temped to call the dead X. gal that, but I will just exlue the .5 dead X. gal for now and not add Mel ele to the sheet yet."
LL_05,South_80-90,South,65,53,20,10,,4,0.01,0.05,,,,,,,,,,,,,5/4/12,61,13.1,,"Rikke also found Leg hag but I do not have a record of it, so I will not include it."
LL_05,North_45-55,North,80,10,6,3,,,,3,,,,,,,,,,,,The Lec sp. Is Lec brown.,5/4/12,,,,
LL_05,North_80-90,North,70,35,11,11,,6,2.5,2.5,0.5,,,,,,,,,,,THe Lec is lec black but it might be Rhinodina.,5/4/12,,,,"Based on my notes, I am splitting up the lec black in this quad half into Rino and half into lec.  Rikke saw no C. holocarpa in this quad, and since I can confuse it with X. mont, I am tempted to exclude it, but I will leave it in for now."
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_06_(ZNU-29),South_45-55,South,100,35,34,1,,,,,0.5,,,,,,,,,,,,5/4/12,17.5,70,,"Added the cover of 1, X poly carpa to X. gal. I was not sure which of the PhysciaDarkGrey was what Rikke Ided as Pha orb and which as P. mel. I randomy assinged P. mel to what was in south 45-55 and Phae orb to south 80-90."
LL_06_(ZNU-29),South_80-90,South,100,60,42,6,,,0.01,,,,,,3,,,,,,,,5/4/12,,,,"Added the cover of 2, X poly carpa to X. gal"
LL_06_(ZNU-29),North_45-55,North,100,5,5,0.05,,,,,,,,,,,,,,,,,5/4/12,,,,
LL_06_(ZNU-29),North_80-90,North,100,9,9,,,,,,,,,,,,,,,,,,5/4/12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_11,South_45-55,South,10,0,,,,,,,,,,,,,,,,,,,12/3/12,41.5,6.3,,
LL_11,South_80-90,South,5,0,,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_11,North_45-55,North,5,0.1,0.05,,,0.05,,0.05,,,,,,,,,,,,The lec is lec black,12/3/12,,,,"Rikke did not see Cand sub, but I might not have even collected it, so I will leave it in."
LL_11,North_80-90,North,2,0,,,,,,,,,,,,,,,,,,,12/3/12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_24,South_45-55,South,85,40,20,1,,0.25,,,,1,,,1.5,,,,,,,"This tree is 10 feet south of B-83, and has poison ivy near by",12/4/12,,,,Notes for this whole tree: I moved P.mel(brown-green foliose) to Phae. Orbi for all trees and moved GreenFoliose toPhaeophyscia ciliata
LL_24,South_80-90,South,90,35,20,75,,0.25,,,,,,,,,,,,,0.01,,12/4/12,,,,
LL_24,North_45-55,North,65,50,30,4,0.25,0.25,0.25,0.25,,,,,3,,,0.25,,0.25,,".25 of the lec is lecblack/Rhinodina, and .25 is lec brown",12/4/12,,,,"Not sure about the unknown Physcia, I will just exclude, I collected no voucher. Also, for this and the north 80 quad all samples just had black and brown lec, with no Rino. Based on Rikke's IDs of vouchers, I split the lec sp into rino and lec, half and half. Also, based on Rikke's IDs of vouchers, I moved Phaeophyscia ciliata to Melanelia exasperatula."
LL_24,North_80-90,North,70,50,30,2,,0.5,0.25,0.25,,,,,5,,,,,,,".25 of the lec is lecblack/Rhinodina, and .25 is lec brown",12/4/12,,,,"Moved the 1% Unknown grey foliose to Phae. orbi. Based on Rikke's IDs of vouchers, I split the lec sp into rino and lec, half and half."
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_22,South_45-55,South,0,,,,,,,,,,,,,,,,,,,Nothing on this tree,12/3/12,,,,
LL_22,South_80-90,South,25,,,,,,,,,,,,,,,,,,,Nothing on this tree,12/3/12,,,,
LL_22,North_45-55,North,35,,,,,,,,,,,,,,,,,,,Nothing on this tree,12/3/12,,,,
LL_22,North_80-90,North,20,,,,,,,,,,,,,,,,,,,Nothing on this tree,12/3/12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_12,South_45-55,South,20,5,5,,,0.1,,,,,,,,,,,,,,,12/3/12,,,,
LL_12,South_80-90,South,35,10,8,,,0.25,,,,,,,,,,0.1,,,,Is this the P-mel (brown-green) or the GreenFolios?,12/3/12,,,,"The P.mel foliose brown-green was Ided by me from vouchers as both Phae. Orbi and Melo. Elag. I split it up randomly and put Melo.elag on south 80-90 and Phae. Orbi on north 45-55. But, after Rikke viewed the vochers, she said it was only Mel ele, so I moved everything to there."
LL_12,North_45-55,North,45,69,50,1,,3.5,0.1,1,1.5,,,,,,,0.5,,,,Is this the P-mel (brown-green) or the GreenFolios?  The P-mel may just be dead X.gal.,12/3/12,,,,P. adscendense was found outside the quadrats on this tree.
LL_12,North_80-90,North,20,30,20,,,3,,0.25,,,,,,,,,,,,Lec for this tree are lec black,12/3/12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_13,South_45-55,South,30,1,0.5,,,0.1,,0.1,,,,,,,,,,,,,12/3/12,,,,
LL_13,South_80-90,South,15,4,1,,,2,,1,,,,,,,,,,,,Le for this tree are lec black,12/3/12,,,,I may have Ided Rino from the voucher in this tree but I am not positive and so I am excluding it.
LL_13,North_45-55,North,40,1.5,0.25,,,1,,0.1,,,,,,,,,,,,,12/3/12,,,,
LL_13,North_80-90,North,10,10,0.5,,,3,1,10,,,,,,,,,,,,Lec and candelariella are almost all on smooth bark in this quadrat,12/3/12,,,,"Rikke also Rinodina on this tree. From my memory much of the Lec in this quadrat was really Lec. So, to include lec, Rino, I split 1% out from this quadrat to account for it. I recognize this is not great but, oh well."
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_14,South_45-55,South,2,2,,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_14,South_80-90,South,5,2,,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_14,North_45-55,North,10,0.1,0.1,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_14,North_80-90,North,10,0,,,,,,,,,,,,,,,,,,,12/3/12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_15,South_45-55,South,70,12,10,,,0.1,,,1.5,,,,,,,,,,,,12/3/12,,,,"For this tree, all GreenFoliose was Phaeo cili, based on my ID and all P.mel/dark physcioid was Phae orbi, and I transferred it, all based on my IDs. But, then I changed this again in March 2013, based on Rikke's examination of the vouchers: All that I thought was Pha orbi is now being moved back to Phy.melanchra, for all quadrats. I am leaving the ""Green foliose"" as Phae cilia based on her notes too."
LL_15,South_80-90,South,60,7,30,,,1,,,2,,,,,,,,,,,,12/3/12,,,,"But, then I changed this again in March 2013, based on Rikke's examination of the vouchers: All that I thought was Pha orbi is now being moved back to Phy.melanchra, "
LL_15,North_45-55,North,65,45,32,5,,1.5,0.1,0.25,4,0.05,,0.1,,1,,,0.25,,,,12/3/12,,,,"On the field datasheet I had Rinodina as 0.1% cover with a question mark; I did not see it in the vouchers but I will assume I did not get a specimen of it, and I will leave it in. ONe changen in March 2013, based on Rikke's examination of the vouchers: All that I thought was Pha orbi is now being moved back to Phy.melanchra, "
LL_15,North_80-90,North,50,65,30,3,0.1,1.5,,0.25,2.5,0.1,,,,,,,,,,,12/3/12,,,,"But, then I changed this again in March 2013, based on Rikke's examination of the vouchers: All that I thought was Pha orbi is now being moved back to Phy.melanchra, "
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_16,South_45-55,South,3,0.01,0.01,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_16,South_80-90,South,2,0.1,0.1,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_16,North_45-55,North,3,0.11,0.01,,,0.1,,,,,,,,,,,,,,No apothecia on the Candelariella.,12/3/12,,,,
LL_16,North_80-90,North,2,0.25,0.25,,,,,,,,,,,,,,,,,,12/3/12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_17,South_45-55,South,15,0.1,0.1,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_17,South_80-90,South,10,0.1,0.1,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_17,North_45-55,North,25,1,0.25,,,0.25,0.1,,,,,,,,,,,,,,12/3/12,,,,
LL_17,North_80-90,North,10,0.01,0.01,,,,,,,,,,,,,,,,,,12/3/12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_18,South_45-55,South,15,0.01,0.01,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_18,South_80-90,South,10,0,0,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_18,North_45-55,North,6,0.01,0.01,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_18,North_80-90,North,2,0,0,,,,,,,,,,,,,,,,,,12/3/12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_19,South_45-55,South,25,,,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_19,South_80-90,South,5,0.1,0.1,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_19,North_45-55,North,10,,,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_19,North_80-90,North,4,0.01,0.01,,,,,,,,,,,,,,,,,,12/3/12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_20,South_45-55,South,40,,,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_20,South_80-90,South,45,,,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_20,North_45-55,North,5,,,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_20,North_80-90,North,5,,,,,,,,,,,,,,,,,,,,12/3/12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_21,South_45-55,South,35,,,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_21,South_80-90,South,25,,,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_21,North_45-55,North,35,0.01,,,,,,,,,,,,,,,,0.25,,,12/3/12,,,,"Based on Rikke's examination of the vouchers, I moved X.gal to unknown physciaoid. She said it was not k+ but that the specimen was really smal and hard to ID and that it may not even be Physcioid."
LL_21,North_80-90,North,20,,,,,,,,,,,,,,,,,,,,12/3/12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_08,South_45-55,South,5,,,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_08,South_80-90,South,10,,,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_08,North_45-55,North,10,0.25,0.25,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_08,North_80-90,North,3,0.1,0.1,,,,,,,,,,,,,,,,,,12/3/12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_09,South_45-55,South,70,0.25,0.25,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_09,South_80-90,South,75,2,2,,,,,,,,,,,,,,,,,,12/3/12,,,,
LL_09,North_45-55,North,70,7,7,,,0.1,0.1,,,,,,,,,,,,,Rhino might be black lec,12/3/12,,,,"Based on my IDs, I changed Rino to lec black. But, the Rikke only say Rino in the quadrat samples, so I move the Lec back to Rino. Addiontally, I found samples specifically outside the quad that Rikke said were X.montana, Lec sp., Lec hag and Phy ads, so the quads did not get everything."
LL_09,North_80-90,North,40,1,1,,,,,,,,,,,,,,,,,,12/3/12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_10,South_45-55,South,25,,,,,,,,,,,,,,,,,,,,12/4/12,,,,
LL_10,South_80-90,South,10,,,,,,,,,,,,,,,,,,,,12/4/12,,,,
LL_10,North_45-55,North,75,1.5,0.5,,,0.5,,,,,,,,,,,,,0.01,"Lec hardly existant, double check ID",12/4/12,,,,Lab ID notes: I only saw unlichenized black balls. I removed the lec black and put it in the black balls category.
LL_10,North_80-90,North,2,,,,,,,,,,,,,,,,,,,,12/4/12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_26,South_45-55,South,90,23,14,9,,,,,,,,,,,0.25,,,,,,12/4/12,,,,"based on my lab IDs and Rikke's IDs, P.mel(green-black), was changed to Melanelia subolivacea"
LL_26,South_80-90,South,80,3,2.5,0.5,,,,,,,,,,,,,,,,,12/4/12,,,,
LL_26,North_45-55,North,60,30,6,18,,2,0.25,0.25,,0.1,,,,,,,,,,Lec is Lec black,12/4/12,,,,"Based on Rikke's IDs of vouchers, I split the Lec species into both Rinodina and Lecanora."
LL_26,North_80-90,North,35,20,7,4,,1,0.25,0.25,,,,,,,,,,,,,12/4/12,,,,"Based on Rikke's IDs of vouchers, I split the Lec species into both Rinodina and Lecanora."
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_23,South_45-55,South,20,0.5,0.5,,,,,,,,,,,,,,,,,,12/4/12,,,,"IN her review of the vouchers, Rikke did not say anyting about C. subdeflexa, but I bet I just did not collect it. Rikke also say there is maybe Phy mel, but since it was a maybe, I did not change anything."
LL_23,South_80-90,South,25,0.1,0.1,,,,,,,,,,,,,,,,,,12/4/12,,,,
LL_23,North_45-55,North,35,0.75,1.5,,,0.1,,,,,,,,,,,,,,,12/4/12,,,,
LL_23,North_80-90,North,5,0.05,0.05,,,,,,,,,,,,,,,,,,12/4/12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL_25,South_45-55,South,20,0.01,0.01,,,,,,,,,,,,,,,,,Voucher collected from quadrat,12/4/12,,,,
LL_25,South_80-90,South,3,,,,,,,,,,,,,,,,,,,,12/4/12,,,,
LL_25,North_45-55,North,8,,,,,,,,,,,,,,,,,,,,12/4/12,,,,
LL_25,North_80-90,North,5,,,,,,,,,,,,,,,,,,,,12/4/12,,,,
